avg_x,avg_y,timestamp_sec,person_id,cluster,class,type,details
-10956.961538461537,12682.153846153846,2013-01-09 03:38:39,10383900,-1,MOVE,noise,before/after clustering
-10826.851851851852,11845.296296296296,2013-01-09 03:38:40,10383900,-1,MOVE,noise,before/after clustering
-10725.428571428572,10991.571428571428,2013-01-09 03:38:41,10383900,-1,MOVE,noise,before/after clustering
-10778.357142857143,10197.785714285714,2013-01-09 03:38:42,10383900,-1,MOVE,noise,before/after clustering
-10706.357142857143,9410.892857142857,2013-01-09 03:38:43,10383900,-1,MOVE,noise,before/after clustering
-10141.592592592591,8659.0,2013-01-09 03:38:44,10383900,-1,MOVE,noise,before/after clustering
-9576.964285714284,8134.785714285714,2013-01-09 03:38:45,10383900,-1,MOVE,noise,before/after clustering
-9023.222222222223,7634.259259259259,2013-01-09 03:38:46,10383900,-1,MOVE,noise,before/after clustering
-8655.074074074073,7060.666666666666,2013-01-09 03:38:47,10383900,-1,MOVE,noise,before/after clustering
-8278.785714285714,6439.678571428572,2013-01-09 03:38:48,10383900,-1,MOVE,noise,before/after clustering
-7822.11111111111,5919.333333333333,2013-01-09 03:38:49,10383900,1,STOP_1,cluster,cluster # 1
-7287.8214285714275,5546.642857142857,2013-01-09 03:38:50,10383900,1,STOP_1,cluster,cluster # 1
-7043.5,5333.5,2013-01-09 03:38:51,10383900,1,STOP_1,cluster,cluster # 1
-6961.5,5304.821428571428,2013-01-09 03:38:52,10383900,1,STOP_1,cluster,cluster # 1
-6996.0,5289.428571428572,2013-01-09 03:38:53,10383900,1,STOP_1,cluster,cluster # 1
-6971.392857142857,5288.714285714285,2013-01-09 03:38:54,10383900,1,STOP_1,cluster,cluster # 1
-6768.071428571428,5365.571428571428,2013-01-09 03:38:55,10383900,1,STOP_1,cluster,cluster # 1
-6517.137931034483,5073.758620689655,2013-01-09 03:38:56,10383900,1,STOP_1,cluster,cluster # 1
-6138.642857142857,4616.142857142857,2013-01-09 03:38:57,10383900,1,STOP_1,cluster,cluster # 1
-5874.413793103448,4355.206896551724,2013-01-09 03:38:58,10383900,1,STOP_1,cluster,cluster # 1
-5702.833333333333,3963.3,2013-01-09 03:38:59,10383900,1,STOP_1,cluster,cluster # 1
-5177.4333333333325,3222.4333333333334,2013-01-09 03:39:00,10383900,2,STOP_2,cluster,cluster # 2
-4979.58064516129,2891.322580645161,2013-01-09 03:39:01,10383900,2,STOP_2,cluster,cluster # 2
-4771.2,2522.833333333333,2013-01-09 03:39:02,10383900,2,STOP_2,cluster,cluster # 2
-4604.482758620689,2251.448275862069,2013-01-09 03:39:03,10383900,2,STOP_2,cluster,cluster # 2
-4449.033333333333,2124.4,2013-01-09 03:39:04,10383900,2,STOP_2,cluster,cluster # 2
-4484.482758620689,2022.2758620689651,2013-01-09 03:39:05,10383900,2,STOP_2,cluster,cluster # 2
-4425.482758620689,1999.103448275862,2013-01-09 03:39:06,10383900,2,STOP_2,cluster,cluster # 2
-4473.068965517241,2002.6896551724135,2013-01-09 03:39:07,10383900,2,STOP_2,cluster,cluster # 2
-4369.571428571428,2002.8928571428569,2013-01-09 03:39:08,10383900,2,STOP_2,cluster,cluster # 2
-4470.714285714285,2005.8214285714284,2013-01-09 03:39:09,10383900,2,STOP_2,cluster,cluster # 2
-4247.666666666666,1781.2962962962963,2013-01-09 03:39:10,10383900,2,STOP_2,cluster,cluster # 2
-3942.375,1399.375,2013-01-09 03:39:11,10383900,2,STOP_2,cluster,cluster # 2
